variant,max_positions,risk_config,risk_policy,start,end,final,cagr,maxdd,calmar,trades,round_trips,win_rate,avg_trade,risk_events
turbo,2,risk_balanced,half_elevated,2018-01-02,2026-05-06,43.20145041926889,0.5707780628953356,-0.35779072252961075,1.5952846928502962,282,140,0.4357142857142857,0.054116357420013084,661
turbo,2,risk_loose,half_elevated,2018-01-02,2026-05-06,42.8053522876491,0.5690441056125877,-0.35779072252961075,1.5904384037389163,282,140,0.4357142857142857,0.054116357420013084,643
turbo,2,risk_balanced,block_elevated,2018-01-02,2026-05-06,38.91499916755494,0.5512189222068808,-0.3940455202145875,1.3988711809404675,311,109,0.46788990825688076,0.08129248765642066,661
turbo,2,risk_tight,half_elevated,2018-01-02,2026-05-06,38.194957091144815,0.5477488601024953,-0.3375800363538687,1.622574800389905,282,140,0.4357142857142857,0.054116357420013084,796
turbo,2,risk_loose,block_elevated,2018-01-02,2026-05-06,34.53765214832474,0.5291806073105185,-0.39404552021458716,1.3429428331588193,310,112,0.45535714285714285,0.07707379994728449,643
turbo,2,risk_loose,exit_defensive,2018-01-02,2026-05-06,33.8699678342288,0.5256052341098671,-0.39571460935360114,1.3282431876054361,336,167,0.46107784431137727,0.050482235833887376,643
turbo,2,risk_balanced,exit_defensive,2018-01-02,2026-05-06,30.699995461873808,0.5077341656279706,-0.3185548492562196,1.5938673255593436,430,214,0.4766355140186916,0.03873599812432893,661
turbo,2,risk_tight,block_elevated,2018-01-02,2026-05-06,28.422120662129867,0.4938600877036574,-0.44517022252228144,1.1093735895125802,328,101,0.43564356435643564,0.08039180584986431,796
turbo,2,none,none,2018-01-02,2026-05-06,22.02611591094396,0.4488836488721477,-0.3751981535933263,1.1963908792544016,282,140,0.4357142857142857,0.054116357420013084,0
turbo,2,risk_tight,exit_defensive,2018-01-02,2026-05-06,14.01272288341651,0.3724011562991272,-0.39942964575608897,0.9323322899435794,602,300,0.4666666666666667,0.02030291674961075,796
